country,item,2011
CH,total residential,223.4
CH,total residential space,149
CH,total residential water,31.6
CH,total residential cooking,9.3
CH,electricity residential,63.7
CH,electricity residential space,12.8
CH,electricity residential water,8.5
CH,electricity residential cooking,4.9
CH,total services,127.4
CH,total services space,62.2
CH,total services water,10
CH,total services cooking,2.4
CH,electricity services,59.2
CH,electricity services space,3.2
CH,electricity services water,0.7
CH,electricity services cooking,2.4
CH,total rail,11.1
CH,total road,200.4
CH,electricity road,0.
CH,electricity rail,11.1
CH,total domestic aviation,3.2
CH,total international aviation,62.0
CH,total domestic navigation,1.6
CH,total international navigation,0.